s,rho,cyc0,cyc1,cyc2,cyc3,reach,curv_radius,half_nonlocal_sep,L,spacing,core_over_reach,spacing_over_core
1.140000000000000124e+00,4.661609982812350839e-02,2.349747060944988031e-01,-2.336166386370173986e-02,1.021964476816131367e-01,-2.016376534202546020e-02,1.031631352422291564e-01,1.031631352422291564e-01,1.209768403650000740e-01,1.117932108037268613e+01,4.366922297020580518e-02,4.846692559565873859e-01,8.733844594041160203e-01
1.155000000000000027e+00,4.810508913031006500e-02,2.360766738420796707e-01,-2.362832582920293065e-02,1.014144719878089657e-01,-2.034107933842893220e-02,1.025851796910211139e-01,1.025851796910211139e-01,1.196112849073680262e-01,1.117994505613714118e+01,4.367166037553570773e-02,4.873998383645304355e-01,8.734332075107140714e-01
1.169999999999999929e+00,4.962287448773729931e-02,2.372485647559383903e-01,-2.386376202762361190e-02,1.006081835181506789e-01,-2.050979064615259667e-02,1.020355805522971393e-01,1.020355805522971393e-01,1.182255820151802833e-01,1.118033348853359144e+01,4.367317768958434154e-02,4.900251434779958060e-01,8.734635537916868309e-01
1.185000000000000053e+00,5.117049655946260406e-02,2.384941305803015832e-01,-2.406957695179064854e-02,9.977738643846859046e-02,-2.066967705068300035e-02,1.007983812274165780e-01,1.007983812274165780e-01,1.168196491973381712e-01,1.118049421395383547e+01,4.367380552325716980e-02,4.960397120583945330e-01,8.734761104651433961e-01
1.199999999999999956e+00,5.274909115499652051e-02,2.398173398541511292e-01,-2.424752407387500280e-02,9.892169796131762560e-02,-2.082043740297156650e-02,9.956300576113437384e-02,9.956300576113437384e-02,1.153937464756232406e-01,1.118043598124533489e+01,4.367357805173958940e-02,5.021945613007809950e-01,8.734715610347917325e-01
1.215000000000000080e+00,5.435989694679711770e-02,2.412224128679704149e-01,-2.439944617917179023e-02,9.804054639394520210e-02,-2.096168351500317037e-02,9.835136273588308831e-02,9.835136273588308831e-02,1.139484865404314373e-01,1.118016845759428968e+01,4.367253303747769405e-02,5.083813646209673909e-01,8.734506607495537978e-01
1.229999999999999982e+00,5.600426295861100218e-02,2.427138543388059344e-01,-2.452721066804942895e-02,9.713321497291854678e-02,-2.109293031329710633e-02,9.716293520995199218e-02,9.716293520995199218e-02,1.124848336726979314e-01,1.117970223309114175e+01,4.367071184801227246e-02,5.145995218439912700e-01,8.734142369602454492e-01
1.245000000000000107e+00,5.768365556101064107e-02,2.442964867195477063e-01,-2.463264336085092474e-02,9.619890709316733513e-02,-2.121358452229510361e-02,9.599743712588754141e-02,9.599743712588754141e-02,1.110040938552977752e-01,1.117904882476294226e+01,4.366815947173024320e-02,5.208472381864927003e-01,8.733631894346047808e-01
1.260000000000000009e+00,5.939966468636398433e-02,2.459754863590953300e-01,-2.471746395383855183e-02,9.523679745543529862e-02,-2.132293243847753830e-02,9.485477229826290435e-02,9.485477229826290435e-02,1.095079000593670027e-01,1.117822068114785772e+01,4.366492453573381921e-02,5.271216069422335337e-01,8.732984907146763565e-01
1.275000000000000133e+00,6.115400898454975698e-02,2.477564228560655279e-01,-2.478322616370032955e-02,9.424604105780882979e-02,-2.142012757796765351e-02,9.373498326961487992e-02,9.373498326961487992e-02,1.079981963920614296e-01,1.117723118876825517e+01,4.366105933112599674e-02,5.334187755299679701e-01,8.732211866225199071e-01
