m,q,available_strain_impulse_I,stage_energy_ratio,time_ratio,Jreq_area_gate,energy_sum_ok,time_sum_ok,area_gate_ok,all_three_ok
2.000000000000000000e+00,5.365274895935139010e-02,4.000000000000000000e+00,2.146109958374055604e-01,1.439308735447590885e-03,3.271796162740348013e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.472308152218419847e-02,1.000000000000000000e+00,2.188923260887367939e-01,1.497307825641808849e-03,3.252043283166007992e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.472308152218419847e-02,2.000000000000000000e+00,2.188923260887367939e-01,1.497307825641808849e-03,3.252043283166007992e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.472308152218419847e-02,3.000000000000000000e+00,2.188923260887367939e-01,1.497307825641808849e-03,3.252043283166007992e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.472308152218419847e-02,4.000000000000000000e+00,2.188923260887367939e-01,1.497307825641808849e-03,3.252043283166007992e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.581476642608583505e-02,1.000000000000000000e+00,2.232590657043433402e-01,1.557644075599259230e-03,3.232290403591667971e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.581476642608583505e-02,2.000000000000000000e+00,2.232590657043433402e-01,1.557644075599259230e-03,3.232290403591667971e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.581476642608583505e-02,3.000000000000000000e+00,2.232590657043433402e-01,1.557644075599259230e-03,3.232290403591667971e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.581476642608583505e-02,4.000000000000000000e+00,2.232590657043433402e-01,1.557644075599259230e-03,3.232290403591667971e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.692822963442969314e-02,1.000000000000000000e+00,2.277129185377187726e-01,1.620411664655179622e-03,3.212537524017327950e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.692822963442969314e-02,2.000000000000000000e+00,2.277129185377187726e-01,1.620411664655179622e-03,3.212537524017327950e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.692822963442969314e-02,3.000000000000000000e+00,2.277129185377187726e-01,1.620411664655179622e-03,3.212537524017327950e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.692822963442969314e-02,4.000000000000000000e+00,2.277129185377187726e-01,1.620411664655179622e-03,3.212537524017327950e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.806390560824268438e-02,1.000000000000000000e+00,2.322556224329707375e-01,1.685708567241458187e-03,3.192784644442987041e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.806390560824268438e-02,2.000000000000000000e+00,2.322556224329707375e-01,1.685708567241458187e-03,3.192784644442987041e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.806390560824268438e-02,3.000000000000000000e+00,2.322556224329707375e-01,1.685708567241458187e-03,3.192784644442987041e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.806390560824268438e-02,4.000000000000000000e+00,2.322556224329707375e-01,1.685708567241458187e-03,3.192784644442987041e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.922223747572700342e-02,1.000000000000000000e+00,2.368889499029080137e-01,1.753636705815701932e-03,3.173031764868647020e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.922223747572700342e-02,2.000000000000000000e+00,2.368889499029080137e-01,1.753636705815701932e-03,3.173031764868647020e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.922223747572700342e-02,3.000000000000000000e+00,2.368889499029080137e-01,1.753636705815701932e-03,3.173031764868647020e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.922223747572700342e-02,4.000000000000000000e+00,2.368889499029080137e-01,1.753636705815701932e-03,3.173031764868647020e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,6.040367720516401362e-02,1.000000000000000000e+00,2.416147088206560545e-01,1.824302109952825358e-03,3.153278885294306999e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,6.040367720516401362e-02,2.000000000000000000e+00,2.416147088206560545e-01,1.824302109952825358e-03,3.153278885294306999e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,6.040367720516401362e-02,3.000000000000000000e+00,2.416147088206560545e-01,1.824302109952825358e-03,3.153278885294306999e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,6.040367720516401362e-02,4.000000000000000000e+00,2.416147088206560545e-01,1.824302109952825358e-03,3.153278885294306999e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
