t,alpha_3to0,alpha_0to1,alpha_1to2,alpha_2to3,rg2dot,length,L_over_Rg,u_rms
8.000000000000000444e-01,2.915014541766569600e-02,5.898271831194065035e-02,7.926956507402958818e-02,4.474196550857517662e-02,-4.931670989603541277e-02,1.107563855725711299e+01,1.153431733898969469e+01,3.830865093771511076e-01
8.100000000000000533e-01,2.906606288819911857e-02,5.909706012217281340e-02,7.929497604712777703e-02,4.477469172747648024e-02,-4.814573251587086350e-02,1.109262056182623368e+01,1.155505651136906486e+01,3.831364609713133751e-01
8.200000000000000622e-01,2.898407080543063952e-02,5.920670284960667662e-02,7.931701620635972505e-02,4.483491187594926264e-02,-4.697475754598307018e-02,1.110977662034325775e+01,1.157591523706382475e+01,3.831836921217910419e-01
8.300000000000000711e-01,2.890410754495972498e-02,5.931157455694253955e-02,7.933566286561240244e-02,4.492259124690220484e-02,-4.580362439680791403e-02,1.112710652887448859e+01,1.159689294128910220e+01,3.832281726032640279e-01
8.399999999999999689e-01,2.882611059469348744e-02,5.941160269080694722e-02,7.935089395217248542e-02,4.503763560897323243e-02,-4.463216700962781974e-02,1.114461010556602183e+01,1.161798905776137225e+01,3.832698728420992906e-01
8.499999999999999778e-01,2.875001668917131700e-02,5.950671411487028217e-02,7.936268813211783124e-02,4.517989213030734058e-02,-4.346021403791995585e-02,1.116228719064733177e+01,1.163920302831285625e+01,3.833087637976142492e-01
8.599999999999999867e-01,2.867576194964457925e-02,5.959683515142147336e-02,7.937102493356823496e-02,4.534915035743983247e-02,-4.228758904548313158e-02,1.118013764646541652e+01,1.166053430254372003e+01,3.833448168457939120e-01
8.699999999999999956e-01,2.860328202969822028e-02,5.968189163232149458e-02,7.937588486727889525e-02,4.554514322970110163e-02,-4.111411072198124794e-02,1.119816135754955155e+01,1.168198233751351367e+01,3.833780036665309088e-01
8.800000000000000044e-01,2.853251226616835418e-02,5.976180896041435181e-02,7.937724954408202638e-02,4.576754811128340428e-02,-3.993959311651240629e-02,1.121635823070607074e+01,1.170354659747263071e+01,3.834082961354516317e-01
8.900000000000000133e-01,2.846338783508250980e-02,5.983651218265605837e-02,7.937510178871136357e-02,4.601598782545063271e-02,-3.876384588977584839e-02,1.123472819514212873e+01,1.172522655363421507e+01,3.834356662213845857e-01
9.000000000000000222e-01,2.839584391232062230e-02,5.990592607642877127e-02,7.936942574957561725e-02,4.629003167828554810e-02,-3.758667458536045503e-02,1.125327120261674985e+01,1.174702168398624380e+01,3.834600858905097276e-01
9.100000000000000311e-01,2.832981583867128644e-02,5.996997525073199942e-02,7.936020700407867001e-02,4.658919646276926674e-02,-3.640788092062122866e-02,1.127198722761707650e+01,1.176893147314320842e+01,3.834815270182071467e-01
9.200000000000000400e-01,2.826523928893362805e-02,6.002858426418279658e-02,7.934743265912298782e-02,4.691294743778073872e-02,-3.522726309753926310e-02,1.129087626755712570e+01,1.179095541223616372e+01,3.834999613095930182e-01
9.300000000000000488e-01,2.820205044469578301e-02,6.008167776200348115e-02,7.933109144646881272e-02,4.726069928066525816e-02,-3.404461613388135716e-02,1.130993834299599854e+01,1.181309299883970354e+01,3.835153602296882402e-01
9.400000000000000577e-01,2.814018617040242934e-02,6.012918063441968081e-02,7.931117381265842536e-02,4.763181701621962971e-02,-3.285973221488165674e-02,1.132917349787209815e+01,1.183534373693383124e+01,3.835276949441180361e-01
