p,delta,Gamma_delta_eq_delta_minus_p,min_expected_area_stretch_K2,min_uniform_integrated_strain_J
2.500000000000000000e-01,2.371373705661655371e-07,4.531583637600817838e+01,2.565075350684541250e+14,1.658908957829654796e+01
2.500000000000000000e-01,1.778279410038922689e-07,4.869675251658631510e+01,4.901738372413972500e+14,1.691289060699883606e+01
2.500000000000000000e-01,1.333521432163324045e-07,5.232991146814946859e+01,9.366991525291242500e+14,1.723669163570112062e+01
2.500000000000000000e-01,9.999999999999999547e-08,5.623413251903490817e+01,1.789988032177820500e+15,1.756049266440340872e+01
2.500000000000000000e-01,7.498942093324558742e-08,6.042963902381328012e+01,3.420582955251689500e+15,1.788429369310569683e+01
2.500000000000000000e-01,5.623413251903490494e-08,6.493816315762113334e+01,6.536573174471400000e+15,1.820809472180798494e+01
2.500000000000000000e-01,4.216965034285822513e-08,6.978305848598662919e+01,1.249108395386809600e+16,1.853189575051027305e+01
2.500000000000000000e-01,3.162277660168379191e-08,7.498942093324558300e+01,2.386987404224977200e+16,1.885569677921256115e+01
2.500000000000000000e-01,2.371373705661655106e-08,8.058421877614817674e+01,4.561420681320690400e+16,1.917949780791484926e+01
2.500000000000000000e-01,1.778279410038922821e-08,8.659643233600652934e+01,8.716660421061464000e+16,1.950329883661713737e+01
2.500000000000000000e-01,1.333521432163324012e-08,9.305720409296989715e+01,1.665712816343450240e+17,1.982709986531942192e+01
2.500000000000000000e-01,1.000000000000000021e-08,1.000000000000000000e+02,3.183098861837906560e+17,2.015090089402171003e+01
5.000000000000000000e-01,1.000000000000000056e-01,3.162277660168379079e+00,1.006584242089740542e+02,2.305866423317856739e+00
5.000000000000000000e-01,7.498942093324557912e-02,3.651741272548377104e+00,2.067045932368681349e+02,2.665645344098176661e+00
5.000000000000000000e-01,5.623413251903490451e-02,4.216965034285822256e+00,4.244730552955532517e+02,3.025424264878496139e+00
5.000000000000000000e-01,4.216965034285822395e-02,4.869675251658630799e+00,8.716660421061465058e+02,3.385203185658816061e+00
5.000000000000000000e-01,3.162277660168379134e-02,5.623413251903491172e+00,1.789988032177820742e+03,3.744982106439135539e+00
5.000000000000000000e-01,2.371373705661655382e-02,6.493816315762113156e+00,3.675785221135933625e+03,4.104761027219455016e+00
5.000000000000000000e-01,1.778279410038922925e-02,7.498942093324558300e+00,7.548316943483952855e+03,4.464539947999774938e+00
5.000000000000000000e-01,1.333521432163324062e-02,8.659643233600652579e+00,1.550065775107481022e+04,4.824318868780094860e+00
