R,zeta,Gamma_enclosed,dGamma_dR,material_viscous_dGamma_dt
4.160000000000000364e-01,7.102554261561904170e-01,4.380667281835783355e-01,1.856469246515167093e+00,-6.619638913288368454e-02
4.200000000000000400e-01,7.068705260333612017e-01,4.455105121576007354e-01,1.865387371365470726e+00,-6.715394536915694768e-02
4.240000000000000435e-01,7.034695981545777688e-01,4.529895430077192642e-01,1.874092653505085471e+00,-6.810988157881339711e-02
4.280000000000000471e-01,7.000530298201924628e-01,4.605029690160073463e-01,1.882584925999072567e+00,-6.906397271379455249e-02
4.319999999999999951e-01,6.966212085981032809e-01,4.680499378761752705e-01,1.890864061574380361e+00,-7.001599496572563641e-02
4.359999999999999987e-01,6.931745222517593508e-01,4.756295968518941542e-01,1.898929972456238957e+00,-7.096572582779314686e-02
4.400000000000000022e-01,6.897133586684731643e-01,4.832410929344442829e-01,1.906782610194543315e+00,-7.191294415590848699e-02
4.440000000000000058e-01,6.862381057880582169e-01,4.908835729996507413e-01,1.914421965480339605e+00,-7.285743022913747369e-02
4.480000000000000093e-01,6.827491515318087067e-01,4.985561839640642035e-01,1.921848067952507177e+00,-7.379896580937629624e-02
4.520000000000000129e-01,6.792468837318399455e-01,5.062580729403497459e-01,1.929060985994760724e+00,-7.473733420025414909e-02
4.560000000000000164e-01,6.757316900608072441e-01,5.139883873918438262e-01,1.936060826523076761e+00,-7.567232030524484454e-02
4.600000000000000200e-01,6.722039579620183725e-01,5.217462752862429554e-01,1.942847734763662348e+00,-7.660371068496725500e-02
4.640000000000000235e-01,6.686640745799606877e-01,5.295308852483848749e-01,1.949421894021595048e+00,-7.753129361365887484e-02
4.680000000000000271e-01,6.651124266912562533e-01,5.373413667120852111e-01,1.955783525440240478e+00,-7.845485913480279572e-02
4.720000000000000306e-01,6.615494006360623791e-01,5.451768700709949123e-01,1.961932887751585364e+00,-7.937419911589273236e-02
4.760000000000000342e-01,6.579753822499353477e-01,5.530365468284402786e-01,1.967870277017604863e+00,-8.028910730231829385e-02
4.800000000000000377e-01,6.543907567961725347e-01,5.609195497462116098e-01,1.973596026362804068e+00,-8.119937937035535958e-02
4.840000000000000413e-01,6.507959088986481344e-01,5.688250329922623916e-01,1.979110505698052469e+00,-8.210481297924492050e-02
4.880000000000000449e-01,6.471912224751601439e-01,5.767521522872892659e-01,1.984414121435862377e+00,-8.300520782234578621e-02
4.920000000000000484e-01,6.435770806713023706e-01,5.847000650501550378e-01,1.989507316197237863e+00,-8.390036567734637796e-02
4.959999999999999964e-01,6.399538657948767861e-01,5.926679305421214128e-01,1.994390568510232553e+00,-8.479009045552075852e-02
5.000000000000000000e-01,6.363219592508622124e-01,6.006549100098623750e-01,1.999064392500372378e+00,-8.567418825001596461e-02
5.040000000000000036e-01,6.326817414769533299e-01,6.086601668272205723e-01,2.003529337573068503e+00,-8.655246738315655608e-02
5.080000000000000071e-01,6.290335918796843284e-01,6.166828666356782840e-01,2.007785988088182982e+00,-8.742473845275403055e-02
5.120000000000000107e-01,6.253778887711518575e-01,6.247221774835124419e-01,2.011834963026888357e+00,-8.829081437740855798e-02
5.160000000000000142e-01,6.217150093063500416e-01,6.327772699636000642e-01,2.015676915650966183e+00,-8.915051044079130849e-02
5.200000000000000178e-01,6.180453294211328830e-01,6.408473173498470121e-01,2.019312533154711264e+00,-9.000364433489570215e-02
5.240000000000000213e-01,6.143692237708158199e-01,6.489314957322104283e-01,2.022742536309581673e+00,-9.085003620224749166e-02
5.280000000000000249e-01,6.106870656694307620e-01,6.570289841502842121e-01,2.025967679101757124e+00,-9.168950867706238128e-02
5.320000000000000284e-01,6.069992270296452608e-01,6.651389647254215554e-01,2.028988748362761996e+00,-9.252188692534193959e-02
5.360000000000000320e-01,6.033060783033623586e-01,6.732606227913668917e-01,2.031806563393313336e+00,-9.334699868389852162e-02
5.400000000000000355e-01,5.996079884230074430e-01,6.813931470233678400e-01,2.034421975580551933e+00,-9.416467429829984692e-02
5.440000000000000391e-01,5.959053247435196488e-01,6.895357295657458252e-01,2.036835868008818107e+00,-9.497474675972547575e-02
5.480000000000000426e-01,5.921984529850561341e-01,6.976875661578960663e-01,2.039049155064141861e+00,-9.577705174072713434e-02
5.520000000000000462e-01,5.884877371764213327e-01,7.058478562586919525e-01,2.041062782032603273e+00,-9.657142762988547846e-02
5.560000000000000497e-01,5.847735395992316176e-01,7.140158031692728224e-01,2.042877724692734542e+00,-9.735771556535660620e-02
5.600000000000000533e-01,5.810562207328284767e-01,7.221906141541882818e-01,2.044494988902131993e+00,-9.813575946730233868e-02
5.640000000000000568e-01,5.773361391999464187e-01,7.303715005608789612e-01,2.045915610178439259e+00,-9.890540606919769051e-02
5.680000000000000604e-01,5.736136517131495971e-01,7.385576779374694034e-01,2.047140653274880151e+00,-9.966650494801131133e-02
5.720000000000000639e-01,5.698891130220449242e-01,7.467483661488524271e-01,2.048171211750503762e+00,-1.004189085532532777e-01
5.760000000000000675e-01,5.661628758612812229e-01,7.549427894910436532e-01,2.049008407535314102e+00,-1.011624722348863914e-01
5.800000000000000711e-01,5.624352908993447420e-01,7.631401768037892053e-01,2.049653390490462801e+00,-1.018970542700973064e-01
5.840000000000000746e-01,5.587067066881573618e-01,7.713397615814009400e-01,2.050107337963663845e+00,-1.026225158889239736e-01
5.880000000000000782e-01,5.549774696134899266e-01,7.795407820818063271e-01,2.050371454340017330e+00,-1.033387212987368631e-01
5.920000000000000817e-01,5.512479238461949205e-01,7.877424814337926628e-01,2.050446970588409190e+00,-1.040455377075718696e-01
5.959999999999999742e-01,5.475184112942682590e-01,7.959441077424269650e-01,2.050335143803655669e+00,-1.047428353463124573e-01
5.999999999999999778e-01,5.437892715557482992e-01,8.041449141926388933e-01,2.050037256744580816e+00,-1.054304874897212807e-01
6.039999999999999813e-01,5.400608418724589521e-01,8.123441591509443782e-01,2.049554617368187337e+00,-1.061083704763187280e-01
6.079999999999999849e-01,5.363334570846014504e-01,8.205411062653011900e-01,2.048888558360102863e+00,-1.067763637271093718e-01
6.119999999999999885e-01,5.326074495862062053e-01,8.287350245630794587e-01,2.048040436661478836e+00,-1.074343497631564393e-01
6.159999999999999920e-01,5.288831492814461965e-01,8.369251885471302721e-01,2.047011632992511210e+00,-1.080822142220045773e-01
6.199999999999999956e-01,5.251608835418208887e-01,8.451108782899443561e-01,2.045803551372759710e+00,-1.087198458729523587e-01
