t,sigma,b,core_radius_sqrt_b,peak_vorticity,numerical_Gamma,relative_Gamma_error
6.850000000005606715e+00,7.791199334789642439e-01,7.869408774814405649e-02,2.805246651332892194e-01,1.213470650562174313e+01,2.999999428165362136e+00,-1.906115459545295317e-07
6.900000000005712231e+00,7.533603197482131586e-01,7.966258051434188525e-02,2.822456031798226128e-01,1.198717958150317919e+01,2.999999435117406854e+00,-1.882941977153033413e-07
6.950000000005817746e+00,7.337727850546642561e-01,8.068450632118343013e-02,2.840501827515402589e-01,1.183535355288725022e+01,2.999999442272041517e+00,-1.859093194944705374e-07
7.000000000005923262e+00,7.225196750528786183e-01,8.173118304214925522e-02,2.858866611826254012e-01,1.168378607781694711e+01,2.999999449414491703e+00,-1.835285027655212679e-07
7.050000000006028777e+00,7.215253456785605257e-01,8.276564003473499409e-02,2.876901806366268799e-01,1.153775477541898020e+01,2.999999456296055911e+00,-1.812346480297340741e-07
7.100000000006134293e+00,7.323850825986810698e-01,8.374357954275621352e-02,2.893848294965653545e-01,1.140301935701019431e+01,2.999999462645314807e+00,-1.791182283975937543e-07
7.150000000006239809e+00,7.562870754598189915e-01,8.461493065191798280e-02,2.908864566319958045e-01,1.128559287579734516e+01,2.999999468178907946e+00,-1.772736973511731258e-07
7.200000000006345324e+00,7.939507955031652742e-01,8.532604573464211417e-02,2.921062233754052051e-01,1.119153771078452131e+01,2.999999472611154072e+00,-1.757962819759484319e-07
7.250000000006450840e+00,8.455844428314321926e-01,8.582252273714828517e-02,2.929548134732526954e-01,1.112679548556349474e+01,2.999999475662060267e+00,-1.747793132444996900e-07
7.300000000006556355e+00,9.108633350522410410e-01,8.605254498201633795e-02,2.933471407428685507e-01,1.109705307089915394e+01,2.999999477063638675e+00,-1.743121204415369056e-07
7.350000000006661871e+00,9.889302354302162978e-01,8.597052529835606804e-02,2.932073077164961683e-01,1.110764015035781505e+01,2.999999476564735090e+00,-1.744784216365739275e-07
7.400000000006767387e+00,1.078417702615539486e+00,8.554074257433015582e-02,2.924734903787523654e-01,1.116344831495460888e+01,2.999999473934836125e+00,-1.753550546249963708e-07
7.450000000006872902e+00,1.177491623823722522e+00,8.474059006308570785e-02,2.911023704181841532e-01,1.126885779105937502e+01,2.999999468967530891e+00,-1.770108230362647255e-07
7.500000000006978418e+00,1.283914207540820307e+00,8.356303875347104171e-02,2.890727222576890409e-01,1.142765596843145204e+01,2.999999461484341712e+00,-1.795052194294063093e-07
7.550000000007083933e+00,1.395123897506531208e+00,8.201797066128990732e-02,2.863877976822509774e-01,1.164293204101514156e+01,2.999999451339693479e+00,-1.828867688402624481e-07
7.600000000007189449e+00,1.508328960982186606e+00,8.013215665155905276e-02,2.830762382319629844e-01,1.191693445496194492e+01,2.999999438427630949e+00,-1.871907896836925438e-07
7.650000000007294965e+00,1.620610930823456641e+00,7.794782494749821766e-02,2.791913769218136721e-01,1.225088267946623688e+01,2.999999422690688089e+00,-1.924364373036742955e-07
7.700000000007400480e+00,1.729033666671013103e+00,7.551995856729638856e-02,2.748089492125327382e-01,1.264473228888793876e+01,2.999999404130957892e+00,-1.986230140360589758e-07
7.750000000007505996e+00,1.830753563003957307e+00,7.291263386331173213e-02,2.700233950296005991e-01,1.309690252503516561e+01,2.999999382822932326e+00,-2.057256892247968090e-07
7.800000000007611511e+00,1.923126380835461058e+00,7.019483242204560547e-02,2.649430739272978230e-01,1.360398800883046100e+01,2.999999358927085691e+00,-2.136909714363829089e-07
7.850000000007717027e+00,2.003806317623521238e+00,6.743620203153141701e-02,2.596848128626921270e-01,1.416048991170753979e+01,2.999999332702544930e+00,-2.224324850234419564e-07
7.900000000007822543e+00,2.070833250777339707e+00,6.470320523713606053e-02,2.543682473052327753e-01,1.475861443110232862e+01,2.999999304516582921e+00,-2.318278056930485882e-07
7.950000000007928058e+00,2.122704580557528864e+00,6.205599085673230153e-02,2.491103989333490198e-01,1.538819452187949643e+01,2.999999274848311970e+00,-2.417172293434077801e-07
8.000000000008032686e+00,2.158428737693312893e+00,5.954618237416556964e-02,2.440208646287558014e-01,1.603679061322448973e+01,2.999999244283931610e+00,-2.519053561300665933e-07
