s,rho,L,cyc0,cyc1,cyc2,cyc3,cov1,cov2,cov3,krms,kmax,dq10,dq25,dq50,dq75,dq90
2.350000000000000089e+00,8.256561978492475695e-02,1.521187528568754388e+01,8.150668654580385530e-02,1.157045313130303926e-01,2.161022535260709310e-02,6.559416684384142271e-02,6.777689189228248701e-01,2.579866606186086986e-01,6.424442045856666728e-02,2.833225430159971747e+00,1.004448748330909957e+01,4.754527678612484598e-01,8.087779616674795058e-01,1.236364912180493381e+00,1.686386860400761467e+00,2.151257095262906205e+00
2.399999999999999911e+00,8.658076937995209943e-02,1.539749154362128891e+01,8.529787265914347272e-02,1.260565186296276896e-01,2.044757665703160476e-02,4.830928646485598693e-02,6.825257603475187729e-01,2.521754313146826187e-01,6.529880833779889981e-02,2.839617559031390570e+00,1.060440608650868022e+01,4.801619512520773347e-01,8.135782490194677363e-01,1.234533445461897472e+00,1.684292657420118688e+00,2.157088497578858011e+00
2.450000000000000178e+00,8.775403463131659088e-02,1.557929826438566678e+01,8.795112998279540351e-02,1.340188048736160042e-01,1.944959369523367385e-02,2.817575133148262495e-02,6.873622435786617135e-01,2.463857183358352243e-01,6.625203808550299278e-02,2.847925383819995382e+00,1.084854499454395516e+01,4.749373769193136474e-01,8.172221846067466711e-01,1.235155318300555027e+00,1.684915910781301651e+00,2.155502508092768110e+00
2.500000000000000000e+00,8.735352613377148079e-02,1.576471167032780585e+01,9.464665082804211982e-02,1.389190548678830850e-01,1.875656179902234280e-02,1.336374949563126635e-02,6.919948488001436138e-01,2.409139153872464634e-01,6.709123581261000613e-02,2.845862749459605823e+00,1.187660035673979486e+01,4.711715948654197628e-01,8.122291677421155098e-01,1.232477916590994038e+00,1.682397009070413008e+00,2.160938561449629702e+00
2.550000000000000266e+00,8.941555125788855363e-02,1.595945607175979930e+01,1.019594713449690215e-01,1.437282266215215709e-01,1.851777472582945630e-02,4.494553180053067923e-04,6.959912294056032067e-01,2.360075789975455418e-01,6.800119159685144576e-02,2.835829243197726335e+00,1.197533562690011344e+01,4.697268836061159747e-01,8.079016013412171349e-01,1.234713300521822488e+00,1.677308651772114301e+00,2.164014024136038827e+00
2.600000000000000089e+00,9.238625790982797625e-02,1.616368208767882919e+01,1.026367319856680282e-01,1.498481976096814605e-01,1.899634899684997033e-02,-1.188450939837908463e-02,6.995215884435667109e-01,2.314153971885747341e-01,6.906301436785874936e-02,2.823014526977661198e+00,1.123722941879410975e+01,4.653827723291734109e-01,8.113960498977804692e-01,1.236744562026610650e+00,1.675009721239483662e+00,2.180050538370233326e+00
2.649999999999999911e+00,9.453779394574771122e-02,1.635623305338830136e+01,1.033603417949100350e-01,1.589759272278183366e-01,2.016516305766309636e-02,-2.138238745310185387e-02,7.030096314805520663e-01,2.269548119698052147e-01,7.003555654964252475e-02,2.812430493397192421e+00,9.922024412458556597e+00,4.595312310779076648e-01,8.125982456233156181e-01,1.241203448703415368e+00,1.670923041707373713e+00,2.179070142365862051e+00
2.700000000000000178e+00,9.685823670362057880e-02,1.652112015514520849e+01,1.102981402433007713e-01,1.708182193193840681e-01,2.174788225233162745e-02,-2.456025852182943184e-02,7.067587366607489541e-01,2.225667531809537858e-01,7.067451015829710748e-02,2.810944207212336732e+00,8.864637187778553695e+00,4.587649510494917759e-01,8.150471725577150828e-01,1.241865306862867335e+00,1.661711195825660736e+00,2.183546912217931180e+00
2.750000000000000000e+00,9.634585441807468065e-02,1.668677628166736682e+01,1.161795326284518898e-01,1.779304054468664187e-01,2.359125368488464852e-02,-2.170509879473949896e-02,7.101557262990896291e-01,2.185881380448010947e-01,7.125613565610887379e-02,2.821000834374556732e+00,1.065664113169158611e+01,4.623077086661579460e-01,8.110664906387035078e-01,1.240146685095360635e+00,1.666433671761180957e+00,2.182931074306018626e+00
2.800000000000000266e+00,9.438151892882354344e-02,1.688749555677676994e+01,1.108428153949413686e-01,1.803894564281876833e-01,2.517228752442237164e-02,-1.199152874960482569e-02,7.125152783004626844e-01,2.153600153473517465e-01,7.212470635218558301e-02,2.834639961376143713e+00,1.294712876911006560e+01,4.668901753824660772e-01,8.119407136175964546e-01,1.239299353915083390e+00,1.666164236600904847e+00,2.172579887302686252e+00
2.850000000000000089e+00,9.390528100662870470e-02,1.711843514186992010e+01,1.022575614149876244e-01,1.854966823791995567e-01,2.585686686195503778e-02,5.094682684858435514e-05,7.145004593260524395e-01,2.125234384024890510e-01,7.297610227145887030e-02,2.835495149493370448e+00,1.411245861672471058e+01,4.718614946005633692e-01,8.134676186979905577e-01,1.241911948737466354e+00,1.666026017414264260e+00,2.181082643732080051e+00
2.899999999999999911e+00,9.680727382581193197e-02,1.735010634098653881e+01,9.971855140139657125e-02,1.968939582565201740e-01,2.565186905071000639e-02,1.148520463016698516e-02,7.167808732102679548e-01,2.096689208833279749e-01,7.355020590640375111e-02,2.827623721342801488e+00,1.412378785806911807e+01,4.762793605506460137e-01,8.145513272247142389e-01,1.237827946509478583e+00,1.663396292438486190e+00,2.189836876085421213e+00
2.950000000000000178e+00,1.021369013540375237e-01,1.757656737283177506e+01,1.009131524791219703e-01,2.044037628153396458e-01,2.460949895482781105e-02,2.396716566181657238e-02,7.189639526133696501e-01,2.070026435508704465e-01,7.403340383575979233e-02,2.809838772585339317e+00,1.330807603320579169e+01,4.821960501293272028e-01,8.157553419435668030e-01,1.244519963496129922e+00,1.664778704392150033e+00,2.191539583472539743e+00
3.000000000000000000e+00,1.055837369285767824e-01,1.780909500058055883e+01,9.509127956457463782e-02,1.971355792504599913e-01,2.267192265264845671e-02,3.531330388801240394e-02,7.197956544920072197e-01,2.053588746965988587e-01,7.484547081139365787e-02,2.781984451717043338e+00,1.157413857708894867e+01,4.828974436110113899e-01,8.158194345337210773e-01,1.245891234173363227e+00,1.662687277295779475e+00,2.192840811639542586e+00
3.050000000000000266e+00,1.064658603149469807e-01,1.802164822480873951e+01,8.305602300641763691e-02,1.902906769611096005e-01,2.066737732448776718e-02,5.089409244822927503e-02,7.196414797656757179e-01,2.044612217609023119e-01,7.589729847342190083e-02,2.759244296121926343e+00,9.910931706969076771e+00,4.899019328865466538e-01,8.236826263094635392e-01,1.251559403298816653e+00,1.652846381210651971e+00,2.191817871817522079e+00
3.100000000000000089e+00,1.061471280539099532e-01,1.821223727172696982e+01,7.038805129734707067e-02,1.925832118270914828e-01,1.876137087726416353e-02,7.618570394510008892e-02,7.194831272895521046e-01,2.036460552370852051e-01,7.687081747336282911e-02,2.745326301435605743e+00,8.204285248592219304e+00,4.932942477373609691e-01,8.232023098668451722e-01,1.246249801825516812e+00,1.652380090563916992e+00,2.191006292463566041e+00
3.149999999999999911e+00,1.057994188939084951e-01,1.840334153258676864e+01,5.932448807905990606e-02,2.044405675763333319e-01,1.666932058959191831e-02,1.123188491208197276e-01,7.194981356080720758e-01,2.028143814560887381e-01,7.768748293583888076e-02,2.744797427243634402e+00,1.000527489520247748e+01,4.977106556904408174e-01,8.264809685514478144e-01,1.240765477049101007e+00,1.656912763724698978e+00,2.195182580408639339e+00
3.200000000000000178e+00,1.092046694168805204e-01,1.861892674370501766e+01,5.241576961119737837e-02,2.211033741795079832e-01,1.396445610250595694e-02,1.597343427811415140e-01,7.195527301782905782e-01,2.021143153526843150e-01,7.833295446902546755e-02,2.760324902860275209e+00,1.372992919161947967e+01,5.066834175602420443e-01,8.330542607967675872e-01,1.242457476591944721e+00,1.651686633988530772e+00,2.194841920805294055e+00
3.250000000000000000e+00,1.167554662226459455e-01,1.886302400608937191e+01,4.823470536671383563e-02,2.294425684041223601e-01,1.155472233128084815e-02,2.056306771662117505e-01,7.195172764167490076e-01,2.018368142894925721e-01,7.864590929375843420e-02,2.763986527444696861e+00,1.602540828471012446e+01,5.102629593331932112e-01,8.347644825015695380e-01,1.241476494059200686e+00,1.653028381947670322e+00,2.186975871582117925e+00
