Re_parent,m,ell_grad_over_delta,tau_diff_ell_over_tau_nl,Re_sub_if_parent_amplitude,Re_target_next,required_vorticity_amplitude_boost,log_boost
3.981071705534973262e+02,4.000000000000000000e+00,2.511886431509579437e-03,2.511886431509579437e-03,2.511886431509579437e-03,1.592428682213989305e+03,6.339572769844456343e+05,1.335973684468892841e+01
4.466835921509634773e+02,1.000000000000000000e+00,2.238721138568337734e-03,2.238721138568337734e-03,2.238721138568337734e-03,4.466835921509634773e+02,1.995262314968883002e+05,1.220370099286844301e+01
4.466835921509634773e+02,2.000000000000000000e+00,2.238721138568337734e-03,2.238721138568337734e-03,2.238721138568337734e-03,8.933671843019269545e+02,3.990524629937766003e+05,1.289684817342838841e+01
4.466835921509634773e+02,4.000000000000000000e+00,2.238721138568337734e-03,2.238721138568337734e-03,2.238721138568337734e-03,1.786734368603853909e+03,7.981049259875532007e+05,1.358999535398833380e+01
5.011872336272724624e+02,1.000000000000000000e+00,1.995262314968878920e-03,1.995262314968878920e-03,1.995262314968878920e-03,5.011872336272724624e+02,2.511886431509581744e+05,1.243395950216784662e+01
5.011872336272724624e+02,2.000000000000000000e+00,1.995262314968878920e-03,1.995262314968878920e-03,1.995262314968878920e-03,1.002374467254544925e+03,5.023772863019163487e+05,1.312710668272779202e+01
5.011872336272724624e+02,4.000000000000000000e+00,1.995262314968878920e-03,1.995262314968878920e-03,1.995262314968878920e-03,2.004748934509089850e+03,1.004754572603832697e+06,1.382025386328773742e+01
5.623413251903490391e+02,1.000000000000000000e+00,1.778279410038922969e-03,1.778279410038922969e-03,1.778279410038922969e-03,5.623413251903490391e+02,3.162277660168379080e+05,1.266421801146725201e+01
5.623413251903490391e+02,2.000000000000000000e+00,1.778279410038922969e-03,1.778279410038922969e-03,1.778279410038922969e-03,1.124682650380698078e+03,6.324555320336758159e+05,1.335736519202719563e+01
5.623413251903490391e+02,4.000000000000000000e+00,1.778279410038922969e-03,1.778279410038922969e-03,1.778279410038922969e-03,2.249365300761396156e+03,1.264911064067351632e+06,1.405051237258714103e+01
6.309573444801936830e+02,1.000000000000000000e+00,1.584893192461112347e-03,1.584893192461112347e-03,1.584893192461112347e-03,6.309573444801936830e+02,3.981071705534977955e+05,1.289447652076665740e+01
6.309573444801936830e+02,2.000000000000000000e+00,1.584893192461112347e-03,1.584893192461112347e-03,1.584893192461112347e-03,1.261914688960387366e+03,7.962143411069955910e+05,1.358762370132660280e+01
6.309573444801936830e+02,4.000000000000000000e+00,1.584893192461112347e-03,1.584893192461112347e-03,1.584893192461112347e-03,2.523829377920774732e+03,1.592428682213991182e+06,1.428077088188654820e+01
7.079457843841380509e+02,1.000000000000000000e+00,1.412537544622753964e-03,1.412537544622753964e-03,1.412537544622753964e-03,7.079457843841380509e+02,5.011872336272724788e+05,1.312473503006606101e+01
7.079457843841380509e+02,2.000000000000000000e+00,1.412537544622753964e-03,1.412537544622753964e-03,1.412537544622753964e-03,1.415891568768276102e+03,1.002374467254544958e+06,1.381788221062600641e+01
7.079457843841380509e+02,4.000000000000000000e+00,1.412537544622753964e-03,1.412537544622753964e-03,1.412537544622753964e-03,2.831783137536552204e+03,2.004748934509089915e+06,1.451102939118595181e+01
7.943282347242821970e+02,1.000000000000000000e+00,1.258925411794166189e-03,1.258925411794166189e-03,1.258925411794166189e-03,7.943282347242821970e+02,6.309573444801942678e+05,1.335499353936546640e+01
7.943282347242821970e+02,2.000000000000000000e+00,1.258925411794166189e-03,1.258925411794166189e-03,1.258925411794166189e-03,1.588656469448564394e+03,1.261914688960388536e+06,1.404814071992541180e+01
7.943282347242821970e+02,4.000000000000000000e+00,1.258925411794166189e-03,1.258925411794166189e-03,1.258925411794166189e-03,3.177312938897128788e+03,2.523829377920777071e+06,1.474128790048535720e+01
8.912509381337458763e+02,1.000000000000000000e+00,1.122018454301963036e-03,1.122018454301963036e-03,1.122018454301963036e-03,8.912509381337458763e+02,7.943282347242820542e+05,1.358525204866487002e+01
8.912509381337458763e+02,2.000000000000000000e+00,1.122018454301963036e-03,1.122018454301963036e-03,1.122018454301963036e-03,1.782501876267491753e+03,1.588656469448564108e+06,1.427839922922481541e+01
8.912509381337458763e+02,4.000000000000000000e+00,1.122018454301963036e-03,1.122018454301963036e-03,1.122018454301963036e-03,3.565003752534983505e+03,3.177312938897128217e+06,1.497154640978476081e+01
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000000e+03,1.000000000000000000e+06,1.381551055796427363e+01
1.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,2.000000000000000000e+03,2.000000000000000000e+06,1.450865773852421903e+01
1.000000000000000000e+03,4.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,4.000000000000000000e+03,4.000000000000000000e+06,1.520180491908416442e+01
1.122018454301964084e+03,1.000000000000000000e+00,8.912509381337450649e-04,8.912509381337450649e-04,8.912509381337450649e-04,1.122018454301964084e+03,1.258925411794168642e+06,1.404576906726367902e+01
1.122018454301964084e+03,2.000000000000000000e+00,8.912509381337450649e-04,8.912509381337450649e-04,8.912509381337450649e-04,2.244036908603928168e+03,2.517850823588337284e+06,1.473891624782362442e+01
1.122018454301964084e+03,4.000000000000000000e+00,8.912509381337450649e-04,8.912509381337450649e-04,8.912509381337450649e-04,4.488073817207856337e+03,5.035701647176674567e+06,1.543206342838356981e+01
1.258925411794167530e+03,1.000000000000000000e+00,7.943282347242813140e-04,7.943282347242813140e-04,7.943282347242813140e-04,1.258925411794167530e+03,1.584893192461114377e+06,1.427602757656308441e+01
1.258925411794167530e+03,2.000000000000000000e+00,7.943282347242813140e-04,7.943282347242813140e-04,7.943282347242813140e-04,2.517850823588335061e+03,3.169786384922228754e+06,1.496917475712302981e+01
1.258925411794167530e+03,4.000000000000000000e+00,7.943282347242813140e-04,7.943282347242813140e-04,7.943282347242813140e-04,5.035701647176670122e+03,6.339572769844457507e+06,1.566232193768297520e+01
1.412537544622755377e+03,1.000000000000000000e+00,7.079457843841373667e-04,7.079457843841373667e-04,7.079457843841373667e-04,1.412537544622755377e+03,1.995262314968882594e+06,1.450628608586248980e+01
1.412537544622755377e+03,2.000000000000000000e+00,7.079457843841373667e-04,7.079457843841373667e-04,7.079457843841373667e-04,2.825075089245510753e+03,3.990524629937765189e+06,1.519943326642243520e+01
1.412537544622755377e+03,4.000000000000000000e+00,7.079457843841373667e-04,7.079457843841373667e-04,7.079457843841373667e-04,5.650150178491021506e+03,7.981049259875530377e+06,1.589258044698238059e+01
1.584893192461114040e+03,1.000000000000000000e+00,6.309573444801929842e-04,6.309573444801929842e-04,6.309573444801929842e-04,1.584893192461114040e+03,2.511886431509581860e+06,1.473654459516189341e+01
1.584893192461114040e+03,2.000000000000000000e+00,6.309573444801929842e-04,6.309573444801929842e-04,6.309573444801929842e-04,3.169786384922228081e+03,5.023772863019163720e+06,1.542969177572183881e+01
